State,District,SubDistrict,VillageName,Population,Area_Hectares,Literacy_Rate
Haryana,Rohtak,Rohtak Taluka,Chhoti Halli 60,6076,4131.46,88.45
Tamil Nadu,Madurai,Madurai Taluka,Kala Nagar 61,429,757.38,54.13
Maharashtra,Nashik,Nashik Taluka,Pura Kalan 62,9552,2102.93,75.04
Gujarat,Surat,Surat Taluka,Motigaon 63,13420,875.49,46.32
Haryana,Rohtak,Rohtak Taluka,Hari Nagar 64,8498,4523.04,63.95
Maharashtra,Thane,Thane Taluka,Hari Peta 65,4028,3872.68,59.22
Haryana,Ambala,Ambala Taluka,Badipeta 66,14047,2928.88,79.47
Maharashtra,Nashik,Nashik Taluka,Harihalli 67,8269,2590.26,65.58
Haryana,Gurugram,Gurugram Taluka,Hari Peta 68,808,4143.81,55.22
West Bengal,Howrah,Howrah Taluka,Badikalan 69,14596,1932.62,78.43
Punjab,Jalandhar,Jalandhar Taluka,Nava Nagar 70,864,707.7,76.7
Punjab,Jalandhar,Jalandhar Taluka,Motipur 71,10447,2328.93,87.86
Rajasthan,Jaipur,Jaipur Taluka,Lalgarh 72,3328,420.89,85.43
Rajasthan,Udaipur,Udaipur Taluka,Lalpeta 73,7215,1294.59,45.05
Rajasthan,Jodhpur,Jodhpur Taluka,Nava Pur 74,12846,2164.33,71.54
Karnataka,Mangalore,Mangalore Taluka,Chhotiwadi 75,233,594.61,92.5
Maharashtra,Mumbai,Mumbai Taluka,Chhotipeta 76,6992,239.22,54.23
Punjab,Ludhiana,Ludhiana Taluka,Moti Gaon 77,5731,2045.86,81.6
Maharashtra,Nagpur,Nagpur Taluka,Hari Kalan 78,6500,647.97,46.15
Haryana,Rohtak,Rohtak Taluka,Nayakhurd 79,7175,565.21,90.02
Uttar Pradesh,Kanpur,Kanpur Taluka,Naya Khurd 80,8041,767.41,81.82
Maharashtra,Mumbai,Mumbai Taluka,Nava Nagar 81,2275,1899.46,83.34
Punjab,Jalandhar,Jalandhar Taluka,Lalwadi 82,11328,2060.9,54.44
Rajasthan,Jodhpur,Jodhpur Taluka,Kala Kalan 83,7749,2761.1,45.63
Bihar,Purnia,Purnia Taluka,Lal Khurd 84,12954,2556.67,86.73
Gujarat,Rajkot,Rajkot Taluka,Naya Pur 85,7643,2712.24,
Rajasthan,Udaipur,Udaipur Taluka,Naya Gaon 86,8291,2772.96,70.03
Uttar Pradesh,Agra,Agra Taluka,Lal Wadi 87,13401,4503.44,74.12
Gujarat,Rajkot,Rajkot Taluka,Chhotiwadi 88,4414,3794.27,67.49
West Bengal,Siliguri,Siliguri Taluka,Purakalan 89,10262,3380.21,44.13
Haryana,Ambala,Ambala Taluka,Motihalli 90,5203,2327.41,46.09
Rajasthan,Ajmer,Ajmer Taluka,Moti Pur 91,2216,4628.04,74.12
Maharashtra,Nashik,Nashik Taluka,Motihalli 92,6285,3810.8,76.15
Gujarat,Surat,Surat Taluka,Kalakalan 93,3245,1391.05,51.37
Bihar,Purnia,Purnia Taluka,Purakhurd 94,11481,3393.35,64.94
Tamil Nadu,Chennai,Chennai Taluka,Lalgaon 95,7437,115.47,48.64
Rajasthan,Jaipur,Jaipur Taluka,Motigaon 96,10717,3094.61,76.33
Maharashtra,Mumbai,Mumbai Taluka,Moti Gaon 97,10135,3136.71,80.13
West Bengal,Siliguri,Siliguri Taluka,Navapeta 98,13693,679.04,73.22
Gujarat,Vadodara,Vadodara Taluka,Harinagar 99,4325,377.25,66.3
West Bengal,Darjeeling,Darjeeling Taluka,Chhoti Halli 100,14987,3175.6,88.4
Bihar,Muzaffarpur,Muzaffarpur Taluka,Nayahalli 101,3441,2689.25,78.99
Rajasthan,Jaipur,Jaipur Taluka,Hari Peta 102,9154,3043.12,55.63
Bihar,Purnia,Purnia Taluka,Chhoti Kalan 103,2040,2701.51,60.48
Gujarat,Bhavnagar,Bhavnagar Taluka,Purawadi 104,106,2580.4,92.01
Punjab,Ludhiana,Ludhiana Taluka,Lal Halli 105,11478,4620.65,56.34
Uttar Pradesh,Varanasi,Varanasi Taluka,Chhoti Pur 106,385,2039.46,93.78
Tamil Nadu,Chennai,Chennai Taluka,Harihalli 107,13119,2573.03,47.22
Bihar,Bhagalpur,Bhagalpur Taluka,Moti Peta 108,283,4950.7,93.28
Punjab,Patiala,Patiala Taluka,Nayagarh 109,9772,4024.6,88.13
Rajasthan,Kota,Kota Taluka,Lalgarh 110,11804,4404.13,60.17
Tamil Nadu,Salem,Salem Taluka,Naya Pur 111,11560,4124.8,77.92
Punjab,Jalandhar,Jalandhar Taluka,Chhotigarh 112,,3779.53,57.76
Rajasthan,Udaipur,Udaipur Taluka,Naya Pur 113,14389,1118.1,87.12
Tamil Nadu,Coimbatore,Coimbatore Taluka,Purapeta 114,3079,3911.54,84.89
Haryana,Faridabad,Faridabad Taluka,Chhoti Khurd 115,4631,4110.48,76.71
Maharashtra,Thane,Thane Taluka,Badi Wadi 116,9040,190.96,74.53
West Bengal,Siliguri,Siliguri Taluka,Kala Nagar 117,3145,3403.18,83.57
Gujarat,Bhavnagar,Bhavnagar Taluka,Lalpur 118,14945,2137.04,52.72
Punjab,Amritsar,Amritsar Taluka,Nava Pur 119,13721,3424.05,46.61
Bihar,Muzaffarpur,Muzaffarpur Taluka,Pura Nagar 120,749,252.71,73.28
Haryana,Gurugram,Gurugram Taluka,Haripur 121,14958,1792.84,83.21
Karnataka,Mangalore,Mangalore Taluka,Lalwadi 122,873,3950.39,52.02
Bihar,Gaya,Gaya Taluka,Moti Pur 123,12486,310.22,76.46
Haryana,Panipat,Panipat Taluka,Haripeta 124,3732,4551.58,47.61
Punjab,Ludhiana,Ludhiana Taluka,Motinagar 125,11134,2511.95,72.55
Rajasthan,Udaipur,Udaipur Taluka,Pura Halli 126,7996,1694.19,79.88
Gujarat,Ahmedabad,Ahmedabad Taluka,Harihalli 127,3714,4276.57,48.6
Tamil Nadu,Madurai,Madurai Taluka,Badi Gaon 128,5846,2773.32,63.16
Tamil Nadu,Salem,Salem Taluka,Lal Pur 129,4613,4733.51,73.84
Uttar Pradesh,Agra,Agra Taluka,Kala Halli 130,13938,4928.68,59.82
Punjab,Bathinda,Bathinda Taluka,Lal Wadi 131,2177,4226.13,45.18
West Bengal,Siliguri,Siliguri Taluka,Motigaon 132,4729,2377.18,67.28
West Bengal,Siliguri,Siliguri Taluka,Harikalan 133,12600,2814.68,50.02
Bihar,Muzaffarpur,Muzaffarpur Taluka,Lalnagar 134,11984,4798.41,68.38
Maharashtra,Nagpur,Nagpur Taluka,Haripur 135,2745,3077.23,56.71
Karnataka,Belgaum,Belgaum Taluka,Kalanagar 136,12625,523.71,88.25
Gujarat,Ahmedabad,Ahmedabad Taluka,Motipeta 137,9838,707.21,70.78
Rajasthan,Ajmer,Ajmer Taluka,Naya Kalan 138,681,4006.35,54.92
Maharashtra,Nashik,Nashik Taluka,Nayakalan 139,4157,1748.14,46.3
Karnataka,Hubli,Hubli Taluka,Kalagarh 140,11018,1929.61,
Rajasthan,Jodhpur,Jodhpur Taluka,Naya Kalan 141,12999,253.34,62.39
Punjab,Bathinda,Bathinda Taluka,Motiwadi 142,8465,1621.93,
Gujarat,Rajkot,Rajkot Taluka,Pura Peta 143,11372,1954.31,80.79
Tamil Nadu,Coimbatore,Coimbatore Taluka,Nayakalan 144,4721,1856.41,62.68
Punjab,Bathinda,Bathinda Taluka,Badi Halli 145,1978,1261.11,77.84
Rajasthan,Jaipur,Jaipur Taluka,Chhotinagar 146,10498,1512.21,91.55
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Moti Khurd 147,2849,428.93,83.83
Rajasthan,Kota,Kota Taluka,Moti Gaon 148,10776,1432.3,81.74
Gujarat,Rajkot,Rajkot Taluka,Lal Garh 149,133,3069.0,68.93
Rajasthan,Jodhpur,Jodhpur Taluka,Hari Nagar 150,,1121.4,47.89
West Bengal,Siliguri,Siliguri Taluka,Chhoti Peta 151,13234,2127.81,63.14
Uttar Pradesh,Varanasi,Varanasi Taluka,Purahalli 152,1123,1171.48,54.55
Karnataka,Hubli,Hubli Taluka,Badipeta 153,11476,475.35,40.65
Rajasthan,Kota,Kota Taluka,Nayapur 154,6048,4836.44,78.72
Punjab,Bathinda,Bathinda Taluka,Chhoti Kalan 155,8861,2878.93,90.55
Uttar Pradesh,Lucknow,Lucknow Taluka,Motipur 156,4020,2751.75,84.35
Karnataka,Belgaum,Belgaum Taluka,Nayagaon 157,13277,1251.56,50.56
Uttar Pradesh,Varanasi,Varanasi Taluka,Lal Nagar 158,8225,375.6,91.88
Haryana,Rohtak,Rohtak Taluka,Navagarh 159,2957,1930.26,76.31
Punjab,Patiala,Patiala Taluka,Pura Gaon 160,10302,3757.63,80.87
Rajasthan,Jaipur,Jaipur Taluka,Nava Khurd 161,12031,736.34,71.41
Punjab,Jalandhar,Jalandhar Taluka,Pura Pur 162,2833,1042.5,74.84
Karnataka,Bangalore,Bangalore Taluka,Lal Garh 163,1697,2964.6,41.67
Bihar,Gaya,Gaya Taluka,Kala Kalan 164,10929,2239.31,
Punjab,Jalandhar,Jalandhar Taluka,Kalawadi 165,9480,267.15,45.71
Punjab,Amritsar,Amritsar Taluka,Motinagar 166,6563,4000.12,72.12
West Bengal,Kolkata,Kolkata Taluka,Nayawadi 167,14455,1667.4,85.5
Bihar,Muzaffarpur,Muzaffarpur Taluka,Hari Kalan 168,8799,1858.35,
Maharashtra,Thane,Thane Taluka,Lal Khurd 169,6816,3274.13,52.52
Gujarat,Vadodara,Vadodara Taluka,Chhoti Pur 170,6948,2561.96,73.67
Punjab,Jalandhar,Jalandhar Taluka,Nava Wadi 171,1391,1480.01,43.48
West Bengal,Kolkata,Kolkata Taluka,Kalagarh 172,5714,2853.03,94.19
West Bengal,Darjeeling,Darjeeling Taluka,Lal Pur 173,7517,4131.73,62.39
Maharashtra,Pune,Pune Taluka,Motikalan 174,1019,3899.83,47.28
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Lal Peta 175,1240,2343.81,68.78
Karnataka,Hubli,Hubli Taluka,Kala Garh 176,12405,1713.67,59.42
Uttar Pradesh,Lucknow,Lucknow Taluka,Puranagar 177,1099,2339.61,83.19
Tamil Nadu,Madurai,Madurai Taluka,Badikhurd 178,3371,1734.39,50.49
Bihar,Patna,Patna Taluka,Kala Halli 179,12281,1824.57,93.31
Karnataka,Bangalore,Bangalore Taluka,Navanagar 180,1465,1079.68,93.69
Maharashtra,Nagpur,Nagpur Taluka,Haripur 181,3164,4696.89,77.02
Tamil Nadu,Coimbatore,Coimbatore Taluka,Naya Halli 182,12817,1323.74,
West Bengal,Siliguri,Siliguri Taluka,Haripur 183,5475,206.44,
Bihar,Muzaffarpur,Muzaffarpur Taluka,Purakalan 184,13138,1165.41,57.48
Gujarat,Rajkot,Rajkot Taluka,Haripur 185,6230,1607.75,43.36
Rajasthan,Jaipur,Jaipur Taluka,Moti Halli 186,,4182.09,
Tamil Nadu,Coimbatore,Coimbatore Taluka,Motinagar 187,7408,4415.0,79.13
Karnataka,Belgaum,Belgaum Taluka,Moti Gaon 188,14792,4237.48,93.23
Karnataka,Mangalore,Mangalore Taluka,Nayapur 189,13942,3793.86,93.07
Rajasthan,Jodhpur,Jodhpur Taluka,Kalanagar 190,13851,768.23,92.92
Haryana,Faridabad,Faridabad Taluka,Purakhurd 191,12618,1747.17,72.66
Bihar,Bhagalpur,Bhagalpur Taluka,Naya Garh 192,6818,2699.07,40.06
Maharashtra,Mumbai,Mumbai Taluka,Lalkalan 193,12113,1569.47,94.7
West Bengal,Siliguri,Siliguri Taluka,Moti Nagar 194,11122,274.64,71.14
Haryana,Ambala,Ambala Taluka,Naya Peta 195,,2405.16,
Gujarat,Bhavnagar,Bhavnagar Taluka,Lalwadi 196,12836,134.94,72.7
Rajasthan,Udaipur,Udaipur Taluka,Nayagaon 197,13245,4946.05,67.46
Uttar Pradesh,Agra,Agra Taluka,Puranagar 198,8186,4065.53,45.08
Haryana,Rohtak,Rohtak Taluka,Chhotikhurd 199,5448,3026.03,76.45
Rajasthan,Jaipur,Jaipur Taluka,Lal Wadi 200,1588,437.94,56.24
Tamil Nadu,Madurai,Madurai Taluka,Nava Garh 201,1497,1801.42,60.89
Bihar,Muzaffarpur,Muzaffarpur Taluka,Moti Peta 202,10714,1316.59,60.03
West Bengal,Durgapur,Durgapur Taluka,Haripur 203,14882,1135.63,86.88
Haryana,Faridabad,Faridabad Taluka,Pura Nagar 204,2689,1441.29,81.56
West Bengal,Kolkata,Kolkata Taluka,Purakalan 205,13884,3597.78,65.38
Haryana,Rohtak,Rohtak Taluka,Lalgarh 206,9362,1803.88,68.88
Punjab,Patiala,Patiala Taluka,Pura Peta 207,13440,1415.12,82.25
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Naya Wadi 208,,4545.2,60.66
Gujarat,Ahmedabad,Ahmedabad Taluka,Pura Wadi 209,,521.7,88.45
West Bengal,Kolkata,Kolkata Taluka,Badipeta 210,11776,1676.43,42.99
Haryana,Gurugram,Gurugram Taluka,Navanagar 211,4008,147.42,82.74
West Bengal,Siliguri,Siliguri Taluka,Chhotiwadi 212,4979,3960.16,
Karnataka,Bangalore,Bangalore Taluka,Badigaon 213,5886,4969.62,80.56
Bihar,Muzaffarpur,Muzaffarpur Taluka,Hari Wadi 214,12386,3787.38,67.52
Bihar,Purnia,Purnia Taluka,Chhoti Wadi 215,13298,3408.25,63.31
West Bengal,Durgapur,Durgapur Taluka,Purakalan 216,1514,2354.1,62.33
Haryana,Panipat,Panipat Taluka,Chhotikalan 217,3719,58.96,85.63
Tamil Nadu,Coimbatore,Coimbatore Taluka,Lalhalli 218,5700,1358.63,63.47
Karnataka,Hubli,Hubli Taluka,Purahalli 219,13089,378.44,74.47
Karnataka,Mysore,Mysore Taluka,Badi Gaon 220,9794,1436.97,54.98
Bihar,Muzaffarpur,Muzaffarpur Taluka,Lal Halli 221,3132,2236.9,64.45
West Bengal,Kolkata,Kolkata Taluka,Naya Garh 222,2418,790.02,62.8
Bihar,Purnia,Purnia Taluka,Navagaon 223,7738,339.33,60.56
Tamil Nadu,Salem,Salem Taluka,Hari Khurd 224,7059,445.11,72.49
Gujarat,Surat,Surat Taluka,Lalgarh 225,2388,536.16,67.53
West Bengal,Darjeeling,Darjeeling Taluka,Lalpur 226,8433,689.58,93.68
Uttar Pradesh,Meerut,Meerut Taluka,Motikhurd 227,10850,4187.47,56.46
Gujarat,Bhavnagar,Bhavnagar Taluka,Hari Wadi 228,13170,164.23,72.6
Gujarat,Rajkot,Rajkot Taluka,Harigarh 229,11251,3762.67,42.46
Karnataka,Bangalore,Bangalore Taluka,Hari Khurd 230,556,4078.34,45.02
Gujarat,Ahmedabad,Ahmedabad Taluka,Kalapur 231,8466,4542.53,54.85
Karnataka,Hubli,Hubli Taluka,Badiwadi 232,8593,1148.4,54.6
Punjab,Jalandhar,Jalandhar Taluka,Naya Kalan 233,9537,3924.89,45.56
Gujarat,Surat,Surat Taluka,Nayahalli 234,11929,3270.69,
Haryana,Faridabad,Faridabad Taluka,Motiwadi 235,4472,4727.71,58.56
Bihar,Gaya,Gaya Taluka,Moti Kalan 236,6395,3864.89,88.67
Maharashtra,Mumbai,Mumbai Taluka,Naya Wadi 237,12224,2385.13,49.06
Rajasthan,Ajmer,Ajmer Taluka,Pura Nagar 238,3425,3944.59,88.82
Bihar,Patna,Patna Taluka,Harigarh 239,,3424.67,94.94
Punjab,Jalandhar,Jalandhar Taluka,Badi Pur 240,6518,382.62,41.02
Uttar Pradesh,Meerut,Meerut Taluka,Nava Garh 241,7170,2380.68,60.69
Haryana,Gurugram,Gurugram Taluka,Hari Gaon 242,14359,4179.74,48.36
Rajasthan,Jodhpur,Jodhpur Taluka,Kala Halli 243,10144,1631.93,61.34
Punjab,Bathinda,Bathinda Taluka,Puragarh 244,13648,1842.67,43.8
Bihar,Patna,Patna Taluka,Nava Wadi 245,14295,4541.77,42.34
Bihar,Bhagalpur,Bhagalpur Taluka,Nava Khurd 246,2289,4659.73,79.81
Uttar Pradesh,Kanpur,Kanpur Taluka,Navagaon 247,2481,1380.8,71.42
Rajasthan,Udaipur,Udaipur Taluka,Badi Gaon 248,1029,4541.62,46.32
West Bengal,Darjeeling,Darjeeling Taluka,Puragarh 249,6591,2049.54,66.87
Punjab,Jalandhar,Jalandhar Taluka,Naya Gaon 250,2854,3120.55,40.2
West Bengal,Howrah,Howrah Taluka,Motipeta 251,12128,1072.48,82.9
Gujarat,Surat,Surat Taluka,Badipur 252,11153,4588.67,87.47
Tamil Nadu,Coimbatore,Coimbatore Taluka,Motigarh 253,12949,3837.05,83.07
Karnataka,Hubli,Hubli Taluka,Lal Garh 254,356,982.37,67.18
Maharashtra,Nagpur,Nagpur Taluka,Lalgaon 255,7473,1461.1,53.87
Rajasthan,Udaipur,Udaipur Taluka,Kala Halli 256,4869,1390.53,41.94
Rajasthan,Jodhpur,Jodhpur Taluka,Kala Halli 257,14114,4103.04,65.93
Karnataka,Bangalore,Bangalore Taluka,Badipeta 258,11420,2549.05,53.54
Maharashtra,Mumbai,Mumbai Taluka,Harinagar 259,11075,1839.14,55.43
Punjab,Jalandhar,Jalandhar Taluka,Nayakhurd 260,14135,126.36,64.83
Maharashtra,Mumbai,Mumbai Taluka,Nava Garh 261,3052,2846.73,72.8
West Bengal,Darjeeling,Darjeeling Taluka,Navakhurd 262,13852,3698.67,68.34
Maharashtra,Pune,Pune Taluka,Kala Peta 263,9473,1253.62,63.65
West Bengal,Darjeeling,Darjeeling Taluka,Lal Khurd 264,7714,1257.67,94.62
Uttar Pradesh,Agra,Agra Taluka,Kala Halli 265,10546,3170.4,45.83
Punjab,Amritsar,Amritsar Taluka,Badikhurd 266,12187,3252.78,69.08
Karnataka,Mysore,Mysore Taluka,Motipur 267,,639.96,43.3
Gujarat,Bhavnagar,Bhavnagar Taluka,Moti Garh 268,628,2344.1,51.79
Haryana,Gurugram,Gurugram Taluka,Kalagaon 269,3068,1054.47,41.76
Bihar,Purnia,Purnia Taluka,Motikalan 270,14620,3479.11,72.85
Gujarat,Surat,Surat Taluka,Harikhurd 271,2859,3896.27,73.43
Punjab,Patiala,Patiala Taluka,Badipeta 272,4048,898.77,54.37
Uttar Pradesh,Meerut,Meerut Taluka,Navagaon 273,12539,82.7,63.23
Uttar Pradesh,Varanasi,Varanasi Taluka,Navagarh 274,10458,181.35,90.87
Maharashtra,Nashik,Nashik Taluka,Kala Peta 275,13952,3827.35,82.08
Punjab,Patiala,Patiala Taluka,Nava Halli 276,12699,876.17,58.23
Haryana,Panipat,Panipat Taluka,Purapur 277,3421,4250.28,61.65
West Bengal,Durgapur,Durgapur Taluka,Nayapur 278,8189,896.27,84.73
Punjab,Jalandhar,Jalandhar Taluka,Naya Khurd 279,12594,1719.76,76.47
Uttar Pradesh,Agra,Agra Taluka,Haripur 280,,329.96,63.01
Tamil Nadu,Chennai,Chennai Taluka,Chhotinagar 281,6615,194.78,89.83
Punjab,Jalandhar,Jalandhar Taluka,Motinagar 282,14293,2986.12,78.19
Punjab,Patiala,Patiala Taluka,Motiwadi 283,9774,4963.06,43.88
West Bengal,Durgapur,Durgapur Taluka,Chhotigarh 284,10293,4273.25,43.2
Rajasthan,Jaipur,Jaipur Taluka,Badi Halli 285,3520,1850.5,50.03
West Bengal,Kolkata,Kolkata Taluka,Motigaon 286,4607,1863.07,56.01
West Bengal,Kolkata,Kolkata Taluka,Nayapeta 287,13084,3955.45,87.03
West Bengal,Durgapur,Durgapur Taluka,Motipeta 288,8257,2089.65,
West Bengal,Kolkata,Kolkata Taluka,Badipur 289,12789,2147.45,71.95
Tamil Nadu,Chennai,Chennai Taluka,Motipeta 290,,874.77,71.05
Tamil Nadu,Coimbatore,Coimbatore Taluka,Moti Kalan 291,6357,4356.26,77.85
Maharashtra,Nashik,Nashik Taluka,Chhotigarh 292,11348,2846.98,88.21
Rajasthan,Kota,Kota Taluka,Pura Kalan 293,5686,507.84,76.8
Gujarat,Rajkot,Rajkot Taluka,Navapur 294,14018,1850.86,73.59
West Bengal,Durgapur,Durgapur Taluka,Badi Nagar 295,4565,1664.35,43.82
Uttar Pradesh,Agra,Agra Taluka,Motinagar 296,4088,2990.39,42.72
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Kala Kalan 297,12282,3276.86,72.25
Bihar,Bhagalpur,Bhagalpur Taluka,Nayakalan 298,8655,3586.01,66.26
Tamil Nadu,Madurai,Madurai Taluka,Badi Kalan 299,6205,3014.6,41.71
West Bengal,Durgapur,Durgapur Taluka,Kala Wadi 300,8122,4558.66,73.27
Gujarat,Surat,Surat Taluka,Chhoti Nagar 301,11729,4948.34,50.56
West Bengal,Durgapur,Durgapur Taluka,Harinagar 302,7891,4875.46,53.4
Karnataka,Hubli,Hubli Taluka,Kala Pur 303,10295,3173.27,90.84
Karnataka,Hubli,Hubli Taluka,Nayagaon 304,13137,3676.23,58.64
Karnataka,Belgaum,Belgaum Taluka,Badigarh 305,9406,1830.19,43.86
Uttar Pradesh,Agra,Agra Taluka,Hari Wadi 306,4056,2822.34,57.05
West Bengal,Howrah,Howrah Taluka,Nayanagar 307,5195,1097.95,56.4
Bihar,Gaya,Gaya Taluka,Badi Pur 308,1813,301.38,52.98
Karnataka,Belgaum,Belgaum Taluka,Badi Halli 309,7266,4036.19,59.72
Bihar,Bhagalpur,Bhagalpur Taluka,Moti Peta 310,6489,1243.1,77.98
Punjab,Ludhiana,Ludhiana Taluka,Hari Peta 311,495,4402.97,93.49
Tamil Nadu,Salem,Salem Taluka,Motinagar 312,2663,4992.39,57.89
Rajasthan,Jaipur,Jaipur Taluka,Moti Kalan 313,7504,3337.66,80.39
Gujarat,Surat,Surat Taluka,Lalkhurd 314,7235,2830.98,52.85
Maharashtra,Nagpur,Nagpur Taluka,Purawadi 315,8172,3608.11,41.56
Karnataka,Belgaum,Belgaum Taluka,Nava Wadi 316,11215,4551.42,89.37
Punjab,Ludhiana,Ludhiana Taluka,Hari Khurd 317,14292,3126.16,49.23
Punjab,Patiala,Patiala Taluka,Kalagarh 318,13702,2878.33,63.52
Tamil Nadu,Chennai,Chennai Taluka,Hari Khurd 319,10769,1073.85,60.82
Rajasthan,Udaipur,Udaipur Taluka,Puragaon 320,14852,3114.2,52.24
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Moti Halli 321,7287,4492.48,42.56
West Bengal,Kolkata,Kolkata Taluka,Badipur 322,6562,3073.52,67.91
